7,9-16,bluebandanadarker
8,8,bluebandanadarker
8,9-16,bluebandanaregular
8,17,bluebandanadarker
9,7,bluebandanadarker
9,8-16,bluebandanaregular
9,17,bluebandanadarker
10,3,bluebandanaregular
10,4,bluebandanadarkest
10,5,bluebandanaregular
10,6,bluebandanadarker
10,7,bluebandanadarkest
10,8,bluebandanaregular
10,9-12,bluebandanadarker
10,13-15,bluebandanaregular
10,16,bluebandanadarker
10,17,black
11,4,bluebandanaregular
11,5,bluebandanadarker
11,6,bluebandanadarkest
11,13-15,bluebandanadarkest
12,4,bluebandanaregular
12,5,bluebandanadarkest
13,4,bluebandanaregular
