7,16,jackzombie
7,17,jackzombie
7,18,jackzombie
8,16,jackzombie
8,17,jackzombie
8,18,jackzombie
9,16,jackzombie
9,17,jackzombie
9,18,jackzombie
10,7,jackzombie
10,8,jackzombie
10,9,jackzombie
10,13,jackzombie
10,14,jackzombie
10,15,jackzombie
11,7,jackzombie
11,8,jackzombie
11,9,jackzombie
11,13,jackzombie
11,14,jackzombie
11,15,jackzombie
12,7,jackzombie
12,8,jackzombie
12,9,jackzombie
12,13,jackzombie
12,14,jackzombie
12,15,jackzombie
13,10,jackzombie
13,11,jackzombie
13,12,jackzombie
14,10,jackzombie
14,11,jackzombie
14,12,jackzombie
15,10,jackzombie
15,11,jackzombie
15,12,jackzombie
22,7,jackzombie
22,8,jackzombie
22,9,jackzombie
22,10,jackzombie
22,11,jackzombie
22,12,jackzombie
22,13,jackzombie
22,14,jackzombie
22,15,jackzombie
22,16,jackzombie
22,17,jackzombie
22,18,jackzombie
23,7,jackzombie
23,8,jackzombie
23,9,jackzombie
23,10,jackzombie
23,11,jackzombie
23,12,jackzombie
23,13,jackzombie
23,14,jackzombie
23,15,jackzombie
23,16,jackzombie
23,17,jackzombie
23,18,jackzombie
24,7,jackzombie
24,8,jackzombie
24,9,jackzombie
24,10,jackzombie
24,11,jackzombie
24,12,jackzombie
24,13,jackzombie
24,14,jackzombie
24,15,jackzombie
24,16,jackzombie
24,17,jackzombie
24,18,jackzombie
